booking_id,user_id,technician_id,service_category,problem_description,booking_date,status,final_cost,rating,simulated_distance_deg
1,176,158,electrical,Need to rewire the living room for extra outlets.,2025-11-12 15:28:19.898493,Completed,618,5.0,0.0177
2,467,117,home cleaning,Weekly house cleaning service needed.,2025-06-10 15:28:19.898493,Completed,290,5.0,0.0214
3,117,150,oven/cooker,Microwave sparking inside when turned on.,2026-01-17 15:28:19.898493,Completed,946,5.0,0.0933
4,105,40,home cleaning,"Upholstery and sofa cleaning, pet stains.",2026-03-11 15:28:19.898493,Completed,598,4.0,0.1727
5,252,182,painter,Minor wall touch-ups after furniture was moved.,2025-05-01 15:28:19.898493,Canceled,0,,0.1109
6,22,76,air condition,Annual AC maintenance and filter cleaning.,2026-01-25 15:28:19.898493,Completed,393,4.0,0.1419
7,291,18,painter,Decorative accent wall with two-tone color.,2025-07-28 15:28:19.898493,Completed,466,4.0,0.0479
8,194,97,plumbing,"Bathroom pipe burst, flooding the floor!",2025-06-02 15:28:19.898493,Completed,423,2.0,0.1308
9,288,150,oven/cooker,Heating element in the oven burned out.,2026-01-17 15:28:19.898493,Completed,1419,5.0,0.0842
10,72,72,carpentry,Antique wooden table has cracks and needs restoration.,2026-02-28 15:28:19.898493,Canceled,0,,0.1712
11,294,44,air condition,"AC deep cleaning, bad smell coming from vents.",2026-03-26 15:28:19.898493,Completed,1058,4.0,0.2892
12,248,200,painter,Exterior balcony walls need weather-resistant paint.,2025-09-10 15:28:19.898493,Completed,374,2.0,0.2811
13,180,122,air condition,"AC making loud noise, needs servicing.",2025-06-17 15:28:19.898493,Completed,401,4.0,0.1321
14,34,13,home cleaning,Move-in cleaning and sanitization for new home.,2026-02-23 15:28:19.898493,Completed,686,5.0,0.0266
15,44,130,dish,Need to install a new satellite dish on the roof.,2025-10-14 15:28:19.898493,Completed,208,3.0,0.1403
16,361,180,home cleaning,"Kitchen deep clean, grease buildup on surfaces.",2025-09-11 15:28:19.898493,Completed,280,3.0,0.4056
17,182,128,dish,"Receiver not picking up channels, needs configuration.",2026-01-20 15:28:19.898493,Canceled,0,,0.1483
18,71,161,carpentry,Antique wooden table has cracks and needs restoration.,2025-06-24 15:28:19.898493,Completed,316,2.0,0.2947
19,206,76,air condition,Split unit filter and coil cleaning.,2025-11-17 15:28:19.898493,Completed,393,4.0,0.4155
20,253,98,oven/cooker,"Oven temperature is inconsistent, burns food.",2025-08-22 15:28:19.898493,Completed,304,3.0,0.1529
21,461,172,air condition,Wall-mounted AC unit installation with piping.,2025-06-02 15:28:19.898493,Canceled,0,,0.0196
22,276,22,home cleaning,"Upholstery and sofa cleaning, pet stains.",2026-03-18 15:28:19.898493,Completed,476,5.0,0.012
23,220,106,carpentry,Antique wooden table has cracks and needs restoration.,2025-04-28 15:28:19.898493,Completed,596,4.0,0.1286
24,420,63,carpentry,Wall-mounted bookshelf needs professional installation.,2025-04-08 15:28:19.898493,Completed,414,4.0,0.4007
25,428,87,fridge/freezer,"Freezer not freezing, ice cream melting.",2025-06-14 15:28:19.898493,Completed,352,3.0,0.4058
26,332,45,oven/cooker,Heating element in the oven burned out.,2025-12-15 15:28:19.898493,Completed,386,2.0,0.4041
27,223,145,fan,Stand fan oscillation mechanism is broken.,2026-03-31 15:28:19.898493,Completed,161,3.0,0.1292
28,117,150,oven/cooker,"Oven door won't close properly, heat escaping.",2025-04-26 15:28:19.898493,Completed,1419,5.0,0.0933
29,239,122,air condition,"AC not cooling, probably needs freon refill.",2025-09-12 15:28:19.898493,Completed,1203,4.0,0.1642
30,132,194,fridge/freezer,"Auto-defrost not working, ice on back wall.",2026-02-26 15:28:19.898493,Completed,476,3.0,0.2772
31,168,108,painter,Minor wall touch-ups after furniture was moved.,2025-09-18 15:28:19.898493,Completed,177,2.0,0.1623
32,471,120,dish,"Satellite signal is weak, dish needs realignment.",2026-02-15 15:28:19.898493,Canceled,0,,0.4587
33,487,45,oven/cooker,"Cooker thermostat seems broken, overheating.",2025-10-07 15:28:19.898493,Canceled,0,,0.1369
34,284,52,dish,Satellite dish setup with receiver configuration.,2025-11-14 15:28:19.898493,Completed,740,4.0,0.0387
35,331,170,fridge/freezer,"Auto-defrost not working, ice on back wall.",2025-09-10 15:28:19.898493,Completed,178,2.0,0.1273
36,339,196,air condition,"AC making loud noise, needs servicing.",2025-05-14 15:28:19.898493,Completed,254,4.0,0.0102
37,204,163,painter,Decorative accent wall with two-tone color.,2025-07-13 15:28:19.898493,Completed,918,5.0,0.039
38,250,195,dish,"Receiver not picking up channels, needs configuration.",2026-03-01 15:28:19.898493,Completed,224,3.0,0.0853
39,109,127,carpentry,Need custom shelves built for the living room.,2025-07-15 15:28:19.898493,Completed,1200,5.0,0.3091
40,259,4,plumbing,The kitchen drain is clogged and water backs up.,2026-03-06 15:28:19.898493,Completed,370,4.0,0.0435
41,64,73,oven/cooker,"Smell of gas near the stove, need urgent check.",2025-12-13 15:28:19.898493,Completed,849,4.0,0.3914
42,341,165,plumbing,"Toilet is constantly running, wasting water.",2026-01-26 15:28:19.898493,Canceled,0,,0.1476
43,440,105,air condition,Air conditioner gas recharge needed.,2026-01-19 15:28:19.898493,Canceled,0,,0.1541
44,338,29,dish,Hide TV cables inside the wall for clean look.,2025-09-13 15:28:19.898493,Completed,726,4.0,0.3908
45,353,150,oven/cooker,"Oven not heating up, food stays raw.",2026-02-22 15:28:19.898493,Completed,946,4.0,0.3124
46,438,77,painter,Exterior balcony walls need weather-resistant paint.,2026-02-01 15:28:19.898493,Canceled,0,,0.0182
47,269,11,painter,Need to repaint the living room walls.,2025-11-27 15:28:19.898493,Completed,393,5.0,0.0084
48,144,170,fridge/freezer,Ice maker producing small or hollow ice cubes.,2025-08-29 15:28:19.898493,Completed,356,3.0,0.0251
49,415,140,home cleaning,Weekly house cleaning service needed.,2025-05-21 15:28:19.898493,Canceled,0,,0.1682
50,184,27,fan,Attic ventilation fan installation needed.,2026-01-27 15:28:19.898493,Completed,380,5.0,0.0369
51,457,187,air condition,"AC deep cleaning, bad smell coming from vents.",2025-04-26 15:28:19.898493,Canceled,0,,0.1751
52,386,117,home cleaning,Oven and kitchen appliance cleaning needed.,2026-01-22 15:28:19.898493,Canceled,0,,0.3943
53,265,191,home cleaning,"Post-renovation deep cleaning, lots of dust.",2025-06-21 15:28:19.898493,Completed,836,5.0,0.0169
54,10,124,air condition,AC is running but not cooling the room at all.,2025-09-27 15:28:19.898493,Completed,426,3.0,0.0373
55,233,5,painter,Fresh paint job for the entire apartment.,2025-08-09 15:28:19.898493,Completed,238,3.0,0.4499
56,455,198,electrical,Chandelier replacement in the living room.,2025-12-29 15:28:19.898493,Canceled,0,,0.3824
57,39,197,electrical,Wiring for the new smart TV setup.,2025-08-27 15:28:19.898493,Completed,770,5.0,0.1672
58,433,17,fridge/freezer,Ice maker in the fridge stopped working.,2026-02-05 15:28:19.898493,Completed,458,5.0,0.0432
59,473,142,electrical,Half the lights in the apartment went out suddenly.,2026-03-02 15:28:19.898493,Canceled,0,,0.301
60,24,135,home cleaning,"Upholstery and sofa cleaning, pet stains.",2026-03-18 15:28:19.898493,Completed,375,5.0,0.4092
61,314,175,fan,Stand fan oscillation mechanism is broken.,2026-03-07 15:28:19.898493,Completed,382,4.0,0.2951
62,163,166,electrical,Need smart home wiring for lights and thermostat.,2026-01-28 15:28:19.898493,Completed,582,5.0,0.0117
63,460,17,fridge/freezer,"Fridge temperature too warm, food spoiling.",2025-09-10 15:28:19.898493,Canceled,0,,0.1045
64,10,131,painter,Minor wall touch-ups after furniture was moved.,2025-05-18 15:28:19.898493,Completed,180,4.0,0.0798
65,179,113,home cleaning,"Carpet cleaning, multiple rooms, heavy stains.",2025-09-20 15:28:19.898493,Completed,320,3.0,0.0312
66,331,8,home cleaning,Deep cleaning before moving into a new apartment.,2026-03-21 15:28:19.898493,Canceled,0,,0.1361
67,273,190,carpentry,Fixing a broken leg on the dining table.,2025-12-21 15:28:19.898493,Completed,374,3.0,0.0255
68,151,160,dish,"Receiver not picking up channels, needs configuration.",2025-07-23 15:28:19.898493,Completed,181,3.0,0.1108
69,303,42,home cleaning,"Upholstery and sofa cleaning, pet stains.",2025-12-09 15:28:19.898493,Canceled,0,,0.0272
70,273,71,oven/cooker,"Oven door won't close properly, heat escaping.",2025-05-14 15:28:19.898493,Completed,216,3.0,0.0325
71,45,192,electrical,Sparking sound coming from the wall outlet.,2025-05-26 15:28:19.898493,Canceled,0,,0.1421
72,376,12,painter,Decorative accent wall with two-tone color.,2025-12-30 15:28:19.898493,Canceled,0,,0.0074
73,379,107,fridge/freezer,Fridge compressor running but not cooling.,2026-02-15 15:28:19.898493,Canceled,0,,0.1434
74,271,71,oven/cooker,"Oven not heating up, food stays raw.",2025-07-06 15:28:19.898493,Completed,216,3.0,0.048
75,263,11,painter,Textured wall finish for the bedroom.,2025-11-15 15:28:19.898493,Completed,786,5.0,0.0258
76,57,160,dish,Need to install a new satellite dish on the roof.,2025-08-04 15:28:19.898493,Completed,362,5.0,0.0141
77,146,42,home cleaning,Oven and kitchen appliance cleaning needed.,2025-11-20 15:28:19.898493,Completed,562,4.0,0.0155
78,242,17,fridge/freezer,"Freezer not freezing, ice cream melting.",2025-12-01 15:28:19.898493,Completed,458,4.0,0.0173
79,435,117,home cleaning,"Post-renovation deep cleaning, lots of dust.",2025-11-16 15:28:19.898493,Completed,580,4.0,0.0274
80,301,20,carpentry,New office desk needs professional assembly.,2025-10-17 15:28:19.898493,Canceled,0,,0.1518
81,133,130,dish,Run cable from dish to multiple rooms.,2025-06-26 15:28:19.898493,Canceled,0,,0.4072
82,486,90,plumbing,Shower drain is very slow and smells terrible.,2025-06-14 15:28:19.898493,Canceled,0,,0.0378
83,111,116,painter,Exterior balcony walls need weather-resistant paint.,2025-10-12 15:28:19.898493,Completed,1404,4.0,0.3533
84,78,109,air condition,"AC deep cleaning, bad smell coming from vents.",2026-04-04 15:28:19.898493,Canceled,0,,0.0752
85,179,16,carpentry,Fixing a broken leg on the dining table.,2025-08-28 15:28:19.898493,Canceled,0,,0.3904
86,289,156,oven/cooker,"Smell of gas near the stove, need urgent check.",2025-08-22 15:28:19.898493,Canceled,0,,0.0211
87,167,161,carpentry,New office desk needs professional assembly.,2025-06-19 15:28:19.898493,Canceled,0,,0.1375
88,305,28,air condition,"AC not cooling, probably needs freon refill.",2025-11-21 15:28:19.898493,Completed,369,3.0,0.0316
89,295,18,painter,Front gate needs rust removal and repainting.,2025-11-03 15:28:19.898493,Canceled,0,,0.0206
90,129,87,fridge/freezer,Fridge compressor running but not cooling.,2025-10-19 15:28:19.898493,Completed,528,2.0,0.1433
91,173,151,air condition,Air conditioner is leaking water inside the house.,2025-05-25 15:28:19.898493,Completed,518,4.0,0.0113
92,163,181,electrical,Wall outlet stopped working and smells like burning.,2025-12-02 15:28:19.898493,Completed,578,4.0,0.0291
93,34,148,home cleaning,Deep cleaning before moving into a new apartment.,2025-05-15 15:28:19.898493,Completed,430,4.0,0.1084
94,19,71,oven/cooker,"Gas cooker burner won't ignite, clicking sound.",2026-01-10 15:28:19.898493,Completed,324,1.0,0.1495
95,42,143,home cleaning,Move-in cleaning and sanitization for new home.,2025-08-30 15:28:19.898493,Completed,362,3.0,0.0276
96,263,89,plumbing,Shower drain is very slow and smells terrible.,2025-11-05 15:28:19.898493,Completed,300,3.0,0.4206
97,305,194,fridge/freezer,"Auto-defrost not working, ice on back wall.",2025-12-16 15:28:19.898493,Completed,238,5.0,0.1232
98,40,54,oven/cooker,Microwave turntable stopped spinning.,2026-02-22 15:28:19.898493,Canceled,0,,0.3498
99,150,119,fan,Need ventilation fan installed in windowless room.,2025-09-01 15:28:19.898493,Completed,1785,5.0,0.0275
100,69,152,painter,Minor wall touch-ups after furniture was moved.,2026-01-22 15:28:19.898493,Completed,112,3.0,0.4027
101,211,175,fan,Stand fan oscillation mechanism is broken.,2025-12-29 15:28:19.898493,Completed,382,4.0,0.1738
102,478,17,fridge/freezer,Fridge leaking water inside on the shelves.,2025-12-20 15:28:19.898493,Completed,458,4.0,0.02
103,306,47,air condition,"AC deep cleaning, bad smell coming from vents.",2025-12-01 15:28:19.898493,Completed,469,5.0,0.0298
104,394,153,fan,Need to install a new ceiling fan in the bedroom.,2025-10-13 15:28:19.898493,Canceled,0,,0.4064
105,498,13,home cleaning,"Carpet cleaning, multiple rooms, heavy stains.",2025-05-09 15:28:19.898493,Completed,686,5.0,0.0281
106,300,119,fan,Kitchen exhaust fan not pulling smoke out.,2025-05-28 15:28:19.898493,Completed,1190,5.0,0.2511
107,322,61,carpentry,Antique wooden table has cracks and needs restoration.,2025-09-22 15:28:19.898493,Canceled,0,,0.4035
108,484,125,dish,"Satellite signal is weak, dish needs realignment.",2026-02-28 15:28:19.898493,Completed,334,3.0,0.4474
109,44,107,fridge/freezer,"Fridge temperature too warm, food spoiling.",2026-03-21 15:28:19.898493,Canceled,0,,0.125
110,46,66,oven/cooker,"Cooker thermostat seems broken, overheating.",2025-12-06 15:28:19.898493,Canceled,0,,0.2556
111,201,122,air condition,Need to install a new split unit in the bedroom.,2025-11-25 15:28:19.898493,Completed,802,5.0,0.0336
112,18,136,fridge/freezer,Fridge compressor running but not cooling.,2025-07-16 15:28:19.898493,Completed,1515,4.0,0.107
113,411,130,dish,Need to install a new satellite dish on the roof.,2025-10-25 15:28:19.898493,Completed,208,3.0,0.4241
114,274,79,dish,Run cable from dish to multiple rooms.,2026-03-02 15:28:19.898493,Completed,500,4.0,0.3853
115,4,173,plumbing,Shower drain is very slow and smells terrible.,2025-04-29 15:28:19.898493,Completed,748,4.0,0.4162
116,228,37,home cleaning,"Upholstery and sofa cleaning, pet stains.",2025-11-14 15:28:19.898493,Completed,748,4.0,0.0532
117,272,48,painter,Minor wall touch-ups after furniture was moved.,2025-10-19 15:28:19.898493,Completed,431,5.0,0.0203
118,151,7,dish,"Receiver not picking up channels, needs configuration.",2025-12-15 15:28:19.898493,Canceled,0,,0.0381
119,102,98,oven/cooker,"Cooker thermostat seems broken, overheating.",2025-08-19 15:28:19.898493,Completed,304,3.0,0.1544
120,302,108,painter,Fresh paint job for the entire apartment.,2025-05-15 15:28:19.898493,Canceled,0,,0.02
121,75,176,electrical,Need to install new LED light fixtures in the kitchen.,2026-01-09 15:28:19.898493,Completed,372,5.0,0.012
122,18,65,plumbing,The water heater is making strange noises and water is cold.,2026-03-09 15:28:19.898493,Completed,452,4.0,0.2725
123,89,48,painter,Exterior balcony walls need weather-resistant paint.,2025-11-09 15:28:19.898493,Completed,1293,4.0,0.3938
124,280,63,carpentry,Need custom shelves built for the living room.,2025-10-01 15:28:19.898493,Canceled,0,,0.3889
125,48,132,plumbing,"Toilet is constantly running, wasting water.",2025-10-02 15:28:19.898493,Completed,470,4.0,0.0397
126,9,156,oven/cooker,Microwave turntable stopped spinning.,2025-08-23 15:28:19.898493,Canceled,0,,0.0994
127,458,71,oven/cooker,"Gas cooker burner won't ignite, clicking sound.",2025-10-08 15:28:19.898493,Completed,324,3.0,0.1257
128,440,102,fan,Need ventilation fan installed in windowless room.,2025-04-20 15:28:19.898493,Completed,896,5.0,0.0459
129,403,140,home cleaning,Deep cleaning before moving into a new apartment.,2026-03-18 15:28:19.898493,Canceled,0,,0.0344
130,167,27,fan,Pedestal fan making grinding noise.,2026-03-01 15:28:19.898493,Completed,190,3.0,0.1881
131,191,74,home cleaning,"Upholstery and sofa cleaning, pet stains.",2025-04-21 15:28:19.898493,Completed,926,4.0,0.3763
132,417,119,fan,Attic ventilation fan installation needed.,2025-10-11 15:28:19.898493,Completed,1190,5.0,0.3572
133,281,174,painter,Front gate needs rust removal and repainting.,2025-06-14 15:28:19.898493,Completed,430,4.0,0.0202
134,73,186,painter,Decorative accent wall with two-tone color.,2025-08-25 15:28:19.898493,Completed,474,4.0,0.1083
135,196,30,electrical,Main circuit breaker needs inspection and replacement.,2025-04-18 15:28:19.898493,Canceled,0,,0.2994
136,12,32,air condition,Need to install a new split unit in the bedroom.,2026-01-17 15:28:19.898493,Completed,507,3.0,0.0277
137,165,168,electrical,Need to rewire the living room for extra outlets.,2025-11-19 15:28:19.898493,Completed,1122,4.0,0.129
138,476,168,electrical,Main circuit breaker needs inspection and replacement.,2025-08-29 15:28:19.898493,Canceled,0,,0.1088
139,49,32,air condition,Air conditioner gas recharge needed.,2025-05-12 15:28:19.898493,Completed,338,4.0,0.0144
140,472,34,air condition,Air conditioner gas recharge needed.,2025-05-19 15:28:19.898493,Completed,633,3.0,0.1197
141,122,19,carpentry,"Bathroom cabinet door fell off, need repair.",2026-04-03 15:28:19.898493,Canceled,0,,0.4576
142,113,27,fan,Replace old ceiling fan with a modern one.,2025-09-05 15:28:19.898493,Completed,380,4.0,0.0305
143,382,124,air condition,Need to install a new split unit in the bedroom.,2026-03-29 15:28:19.898493,Canceled,0,,0.118
144,356,190,carpentry,Need custom shelves built for the living room.,2025-12-21 15:28:19.898493,Canceled,0,,0.0531
145,283,64,home cleaning,"Post-renovation deep cleaning, lots of dust.",2025-06-15 15:28:19.898493,Completed,384,3.0,0.2672
146,96,102,fan,"Ceiling fan stopped working, no rotation.",2025-04-18 15:28:19.898493,Canceled,0,,0.1204
147,69,89,plumbing,"Need the water heater replaced, it's rusty and old.",2026-01-12 15:28:19.898493,Completed,900,3.0,0.0354
148,354,60,electrical,The fuse box keeps tripping when I turn on the AC.,2025-05-19 15:28:19.898493,Canceled,0,,0.0263
149,96,99,dish,Satellite dish setup with receiver configuration.,2025-12-06 15:28:19.898493,Completed,568,3.0,0.3905
150,94,189,electrical,Wiring for the new smart TV setup.,2026-01-24 15:28:19.898493,Completed,561,4.0,0.0529
151,378,24,dish,Satellite dish setup with receiver configuration.,2025-05-12 15:28:19.898493,Completed,484,3.0,0.3444
152,219,124,air condition,Air conditioner gas recharge needed.,2025-06-09 15:28:19.898493,Completed,284,3.0,0.1367
153,127,151,air condition,"AC deep cleaning, bad smell coming from vents.",2025-07-07 15:28:19.898493,Canceled,0,,0.4046
154,342,8,home cleaning,Deep cleaning before moving into a new apartment.,2025-05-03 15:28:19.898493,Completed,256,3.0,0.0681
155,153,82,dish,Satellite dish setup with receiver configuration.,2025-06-26 15:28:19.898493,Completed,540,4.0,0.0753
